2021-04-16 13:57:32.1390 | ERROR | SecondTask.Startup | Amount of arguments was too small. You need enter two arguments(double) into console, for example: dotnet run 3.4 23.Bouth of these values have to be more than 2 and less than 100
2021-04-16 13:58:22.6548 | ERROR | SecondTask.Startup | Amount of arguments was too small. You need enter two arguments(double) into console, for example: dotnet run 3.4 23.Bouth of these values have to be more than 2 and less than 100
2021-04-16 13:59:02.0411 | ERROR | SecondTask.Startup | Amount of arguments was too small. You need enter two arguments(double) into console, for example: dotnet run 3.4 23.Bouth of these values have to be more than 2 and less than 100
2021-04-16 13:59:36.3811 | INFO | LibToTasks.Validation.Transformator | Value 56 can be converted to System.Double
2021-04-16 13:59:36.7962 | INFO | LibToTasks.Validation.Validator | Value 56 passed checking
2021-04-16 13:59:36.7962 | INFO | LibToTasks.Validation.Transformator | Value 89 can be converted to System.Double
2021-04-16 13:59:36.7962 | INFO | LibToTasks.Validation.Validator | Value 89 passed checking
2021-04-16 13:59:36.7962 | INFO | SecondTask.Controllers.EnvelopeController | New envelope was setted to model
2021-04-16 13:59:40.9648 | INFO | LibToTasks.Validation.Transformator | Value 80 can be converted to System.Double
2021-04-16 13:59:40.9648 | INFO | LibToTasks.Validation.Validator | Value 80 passed checking
2021-04-16 13:59:43.4457 | INFO | LibToTasks.Validation.Transformator | Value 50 can be converted to System.Double
2021-04-16 13:59:43.4457 | INFO | LibToTasks.Validation.Validator | Value 50 passed checking
2021-04-16 13:59:43.4457 | INFO | SecondTask.Controllers.EnvelopeController | New envelope builder has been setted
2021-04-16 13:59:43.4457 | INFO | SecondTask.Controllers.EnvelopeController | Envelopes were compared
2021-04-16 13:59:43.4457 | INFO | SecondTask.Controllers.EnvelopeController | Information was inputted in console
2021-04-16 14:00:04.3757 | ERROR | SecondTask.Startup | Amount of arguments was too small. You need enter two arguments(double) into console, for example: dotnet run 3.4 23.Bouth of these values have to be more than 2 and less than 100
2021-04-16 14:00:04.3967 | INFO | LibToTasks.Validation.Transformator | Value 5 can be converted to System.Double
2021-04-16 14:00:04.3967 | INFO | LibToTasks.Validation.Validator | Value 5 passed checking
2021-04-16 14:00:55.4204 | ERROR | SecondTask.Startup | Amount of arguments was too small. You need enter two arguments(double) into console, for example: dotnet run 3.4 23.Bouth of these values have to be more than 2 and less than 100
2021-04-16 14:01:14.1303 | INFO | LibToTasks.Validation.Transformator | Value -45 can be converted to System.Double
2021-04-16 14:01:14.1549 | ERROR | LibToTasks.Validation.Validator | Value -45 didn`t pass checking
2021-04-16 14:01:14.1549 | INFO | LibToTasks.Validation.Transformator | Value 45 can be converted to System.Double
2021-04-16 14:01:14.1549 | INFO | LibToTasks.Validation.Validator | Value 45 passed checking
2021-04-16 14:01:14.1549 | INFO | SecondTask.Controllers.EnvelopeController | New envelope was setted to model
2021-04-16 14:01:19.0045 | INFO | LibToTasks.Validation.Transformator | Value 56 can be converted to System.Double
2021-04-16 14:01:19.0045 | INFO | LibToTasks.Validation.Validator | Value 56 passed checking
2021-04-16 14:01:19.8132 | INFO | LibToTasks.Validation.Transformator | Value 34 can be converted to System.Double
2021-04-16 14:01:19.8132 | INFO | LibToTasks.Validation.Validator | Value 34 passed checking
2021-04-16 14:01:19.8132 | INFO | SecondTask.Controllers.EnvelopeController | New envelope builder has been setted
2021-04-16 14:01:19.8132 | INFO | SecondTask.Controllers.EnvelopeController | Envelopes were compared
2021-04-16 14:01:19.8132 | INFO | SecondTask.Controllers.EnvelopeController | Information was inputted in console
2021-04-16 14:02:56.2872 | ERROR | SecondTask.Startup | Amount of arguments was too small. You need enter two arguments(double) into console, for example: dotnet run 3.4 23.Bouth of these values have to be more than 2 and less than 100
2021-04-16 14:04:16.4291 | ERROR | SecondTask.Startup | Please, enter width of envelop and height of envelop like double.
Bouth of these values have to be more than 2 and less than 100

2021-04-16 14:04:23.4739 | INFO | LibToTasks.Validation.Transformator | Value -5 can be converted to System.Double
2021-04-16 14:04:23.4983 | ERROR | LibToTasks.Validation.Validator | Value -5 didn`t pass checking
2021-04-16 14:04:23.4983 | INFO | LibToTasks.Validation.Transformator | Value 6 can be converted to System.Double
2021-04-16 14:04:23.4983 | INFO | LibToTasks.Validation.Validator | Value 6 passed checking
2021-04-16 14:04:23.4983 | INFO | SecondTask.Controllers.EnvelopeController | New envelope was setted to model
2021-04-16 14:04:26.9597 | INFO | LibToTasks.Validation.Transformator | Value 7 can be converted to System.Double
2021-04-16 14:04:26.9597 | INFO | LibToTasks.Validation.Validator | Value 7 passed checking
2021-04-16 14:04:28.0225 | INFO | LibToTasks.Validation.Transformator | Value 8 can be converted to System.Double
